"","intensity_max","date_peak"
"1",2.5555,2002-01-08
"2",2.6042,2003-01-26
"3",4.0136,2003-07-23
"4",2.1837,2003-09-26
"5",1.9975,2003-10-22
"6",2.6233,2004-04-06
"7",3.9614,2004-07-25
"8",2.517,2004-10-14
"9",2.1172,2005-01-20
"10",2.3403,2005-03-11
"11",2.7551,2005-04-24
"12",2.9537,2005-12-25
"13",3.5517,2006-07-03
"14",2.2552,2010-03-05
"15",2.7157,2013-07-06
"16",5.3271,2014-06-08
"17",3.7695,2014-08-04
"18",3.3123,2014-08-28
"19",2.6321,2014-09-22
"20",2.1335,2014-10-07
"21",2.7726,2014-12-10
"22",2.2005,2014-12-21
"23",2.8144,2015-01-25
"24",2.8991,2015-02-10
"25",3.2828,2015-03-12
"26",2.4951,2015-03-28
"27",3.9345,2015-05-30
"28",4.6394,2015-06-11
"29",4.0332,2015-06-26
"30",2.9817,2015-07-21
"31",2.7084,2015-08-21
"32",2.2594,2015-10-10
"33",1.6712,2015-10-20
"34",2.3849,2015-12-08
"35",2.2838,2016-02-27
"36",3.561,2016-04-01
"37",4.71,2016-04-22
"38",3.874,2016-05-03
"39",2.6047,2016-07-28
"40",2.3783,2016-08-13
"41",2.8955,2016-11-09
"42",3.1798,2017-11-23
"43",3.3282,2018-05-15
"44",2.4708,2018-11-27
"45",2.9971,2019-03-31
